HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
60,1,J449,1,1,7,64973,64973,7
60,2,J440,2,2,8,50880,25440,4
60,2,J441,17,17,76,622819,36636.411799999994,4.470000000000001
60,2,J449,1,1,2,42785,42785,2
60,3,J440,1,1,2,25589,25589,2
60,3,J441,2,2,4,29287,14643.5,2
60,4,J440,3,3,6,53378,17792.666699999998,2
60,4,J441,17,17,60,522769,30751.117600000005,3.53
60,4,J449,1,1,2,12346,12346,2
60,5,J441,1,1,1,9776,9776,1
63,1,J440,20,20,65,552756,27637.8,3.25
63,1,J441,186,186,886,7227517,38857.618299999995,4.76
63,1,J449,2,2,6,32962,16481,3
63,2,J440,13,12,70,593434,49452.8333,5.38
63,2,J441,29,28,158,1072644,38308.7143,5.45
63,3,J440,1,1,2,20421,20421,2
63,3,J441,6,6,28,232837,38806.1667,4.67
63,4,J440,2,2,14,96570,48285,7
63,4,J441,22,22,99,849726,38623.909100000004,4.5
63,4,J449,1,1,4,24602,24602,4
63,5,J441,3,3,14,111424,37141.3333,4.67
68,1,J440,3,3,8,134863,44954.3333,2.67
68,1,J441,21,21,74,953650,45411.9048,3.5200000000000005
68,1,J449,1,1,6,66596,66596,6
68,2,J441,6,6,17,179990,29998.3333,2.83
68,4,J440,4,4,9,95611,23902.75,2.25
68,4,J441,31,31,94,1176672,37957.1613,3.0300000000000002
68,4,J449,1,1,7,82501,82501,7
81,1,J440,7,7,59,426822,60974.57139999999,8.43
81,1,J441,277,277,1355,10545715,38071.173299999995,4.89
81,2,J441,50,50,311,2818788,56375.759999999995,6.220000000000001
81,3,J441,3,3,17,156246,52082,5.67
81,4,J440,1,1,4,30207,30207,4
81,4,J441,31,31,148,1094240,35298.0645,4.7700000000000005
81,4,J449,1,1,2,30542,30542,2
81,5,J441,5,5,10,107060,21412,2
103,1,J440,11,11,34,295743,26885.7273,3.09
103,1,J441,172,172,771,6446788,37481.3256,4.4799999999999995
